36.0992 	WARNING 	User requested fullscreen with size [800 600], but screen is actually [1280, 1024]. Using actual size
471.4585 	DATA 	Keypress: o
471.4636 	Level RINSE 	25
473.4614 	DATA 	Keypress: o
473.4835 	Level jitter 	25
475.4559 	Level finished 	25
475.4572 	DATA 	Keypress: o
475.4811 	Level image=tasty.jpg 	25
476.4642 	Level injecting via pump at address 1 	25
482.4614 	DATA 	Keypress: o
482.4631 	DATA 	Keypress: o
482.4644 	DATA 	Keypress: o
482.4804 	Level WAIT 	25
483.4584 	DATA 	Keypress: o
483.4798 	Level RINSE 	25
485.4609 	DATA 	Keypress: o
485.4788 	Level jitter 	25
492.4559 	Level finished 	25
492.4574 	DATA 	Keypress: o
492.4589 	DATA 	Keypress: o
492.4602 	DATA 	Keypress: o
492.4936 	Level image=waterlogo.jpg 	25
493.4583 	DATA 	Keypress: o
493.4652 	Level injecting via pump at address 0 	25
499.4613 	DATA 	Keypress: o
499.4626 	DATA 	Keypress: o
499.4640 	DATA 	Keypress: o
499.4743 	Level WAIT 	25
500.4660 	Level RINSE 	25
502.4613 	DATA 	Keypress: o
502.4744 	Level jitter 	25
505.4559 	Level finished 	25
505.4575 	DATA 	Keypress: o
505.4590 	DATA 	Keypress: o
505.4724 	Level image=tasty.jpg 	25
506.4726 	Level injecting via pump at address 1 	25
512.4618 	DATA 	Keypress: o
512.4631 	DATA 	Keypress: o
512.4644 	DATA 	Keypress: o
512.4712 	Level WAIT 	25
513.4590 	DATA 	Keypress: o
513.4708 	Level RINSE 	25
515.4613 	DATA 	Keypress: o
515.4690 	Level jitter 	25
517.4559 	Level finished 	25
517.4573 	DATA 	Keypress: o
517.4685 	Level image=waterlogo.jpg 	25
518.4668 	Level injecting via pump at address 0 	25
524.4616 	DATA 	Keypress: o
524.4629 	DATA 	Keypress: o
524.4644 	DATA 	Keypress: o
524.4844 	Level WAIT 	25
525.4585 	DATA 	Keypress: o
525.4669 	Level RINSE 	25
527.4614 	DATA 	Keypress: o
527.4678 	Level jitter 	25
535.4559 	Level finished 	25
535.4573 	DATA 	Keypress: o
535.4586 	DATA 	Keypress: o
535.4598 	DATA 	Keypress: o
535.4611 	DATA 	Keypress: o
535.4804 	Level image=tasty.jpg 	25
536.4799 	Level injecting via pump at address 1 	25
542.4617 	DATA 	Keypress: o
542.4631 	DATA 	Keypress: o
542.4643 	DATA 	Keypress: o
542.4770 	Level WAIT 	25
543.4590 	DATA 	Keypress: o
543.4767 	Level RINSE 	25
545.4632 	DATA 	Keypress: o
545.4763 	Level jitter 	25
