24.1881 	WARNING 	User requested fullscreen with size [800 600], but screen is actually [1280, 1024]. Using actual size
222.4615 	DATA 	Keypress: o
222.4630 	DATA 	Keypress: o
222.4643 	DATA 	Keypress: o
222.4831 	Level image=tasty.jpg 	25
223.4616 	DATA 	Keypress: o
223.4679 	Level injecting via pump at address 0 	25
229.4642 	DATA 	Keypress: o
229.4654 	DATA 	Keypress: o
229.4666 	DATA 	Keypress: o
229.4825 	Level WAIT 	25
230.4814 	Level RINSE 	25
232.4642 	DATA 	Keypress: o
232.4814 	Level jitter 	25
234.4585 	Level finished 	25
234.4598 	DATA 	Keypress: o
234.4799 	Level image=tasty.jpg 	25
235.4616 	DATA 	Keypress: o
235.4808 	Level injecting via pump at address 1 	25
241.4643 	DATA 	Keypress: o
241.4656 	DATA 	Keypress: o
241.4670 	DATA 	Keypress: o
241.4777 	Level WAIT 	25
242.4674 	Level RINSE 	25
244.4630 	DATA 	Keypress: o
244.4767 	Level jitter 	25
253.4585 	Level finished 	25
253.4600 	DATA 	Keypress: o
253.4613 	DATA 	Keypress: o
253.4625 	DATA 	Keypress: o
253.4637 	DATA 	Keypress: o
253.4653 	DATA 	Keypress: o
253.4848 	Level image=waterlogo.jpg 	25
254.4734 	Level injecting via pump at address 0 	25
260.4644 	DATA 	Keypress: o
260.4659 	DATA 	Keypress: o
260.4671 	DATA 	Keypress: o
260.4720 	Level WAIT 	25
261.4614 	DATA 	Keypress: o
261.4710 	Level RINSE 	25
263.4640 	DATA 	Keypress: o
263.4714 	Level jitter 	25
271.4585 	Level finished 	25
271.4599 	DATA 	Keypress: o
271.4612 	DATA 	Keypress: o
271.4627 	DATA 	Keypress: o
271.4642 	DATA 	Keypress: o
271.4847 	Level image=tasty.jpg 	25
272.4852 	Level injecting via pump at address 0 	25
278.4640 	DATA 	Keypress: o
278.4653 	DATA 	Keypress: o
278.4669 	DATA 	Keypress: o
278.4834 	Level WAIT 	25
279.4614 	DATA 	Keypress: o
279.4826 	Level RINSE 	25
281.4634 	DATA 	Keypress: o
281.4815 	Level jitter 	25
283.4585 	Level finished 	25
283.4599 	DATA 	Keypress: o
283.4812 	Level image=waterlogo.jpg 	25
284.4803 	Level injecting via pump at address 0 	25
290.4641 	DATA 	Keypress: o
290.4653 	DATA 	Keypress: o
290.4663 	DATA 	Keypress: o
290.4795 	Level WAIT 	25
291.4613 	DATA 	Keypress: o
291.4712 	Level RINSE 	25
293.4644 	DATA 	Keypress: o
293.4708 	Level jitter 	25
300.4585 	Level finished 	25
300.4601 	DATA 	Keypress: o
300.4613 	DATA 	Keypress: o
300.4623 	DATA 	Keypress: o
300.4760 	Level image=tasty.jpg 	25
301.4614 	DATA 	Keypress: o
301.4710 	Level injecting via pump at address 1 	25
307.4641 	DATA 	Keypress: o
307.4654 	DATA 	Keypress: o
307.4666 	DATA 	Keypress: o
307.4729 	Level WAIT 	25
308.4725 	Level RINSE 	25
310.4641 	DATA 	Keypress: o
310.4893 	Level jitter 	25
315.4585 	Level finished 	25
315.4597 	DATA 	Keypress: o
315.4611 	DATA 	Keypress: o
315.4622 	DATA 	Keypress: o
315.4880 	Level image=tasty.jpg 	25
316.4869 	Level injecting via pump at address 0 	25
322.4641 	DATA 	Keypress: o
322.4654 	DATA 	Keypress: o
322.4668 	DATA 	Keypress: o
322.4852 	Level WAIT 	25
323.4613 	DATA 	Keypress: o
323.4849 	Level RINSE 	25
325.4642 	DATA 	Keypress: o
325.4837 	Level jitter 	25
327.4585 	Level finished 	25
327.4601 	DATA 	Keypress: o
327.4827 	Level image=tasty.jpg 	25
328.4827 	Level injecting via pump at address 1 	25
334.4644 	DATA 	Keypress: o
334.4657 	DATA 	Keypress: o
334.4670 	DATA 	Keypress: o
334.4736 	Level WAIT 	25
335.4613 	DATA 	Keypress: o
335.4742 	Level RINSE 	25
337.4641 	DATA 	Keypress: o
337.4795 	Level jitter 	25
340.4585 	Level finished 	25
340.4599 	DATA 	Keypress: o
340.4740 	Level image=tasty.jpg 	25
341.4612 	DATA 	Keypress: o
341.4788 	Level injecting via pump at address 0 	25
347.4645 	DATA 	Keypress: o
347.4660 	DATA 	Keypress: o
347.4678 	DATA 	Keypress: o
347.4775 	Level WAIT 	25
348.4759 	Level RINSE 	25
350.4641 	DATA 	Keypress: o
350.4920 	Level jitter 	25
352.4585 	Level finished 	25
352.4599 	DATA 	Keypress: o
352.4914 	Level image=tasty.jpg 	25
353.4613 	DATA 	Keypress: o
353.4754 	Level injecting via pump at address 1 	25
359.4631 	DATA 	Keypress: o
359.4643 	DATA 	Keypress: o
359.4654 	DATA 	Keypress: o
359.4902 	Level WAIT 	25
360.4728 	Level RINSE 	25
362.4643 	DATA 	Keypress: o
362.4712 	Level jitter 	25
366.4585 	Level finished 	25
366.4600 	DATA 	Keypress: o
366.4613 	DATA 	Keypress: o
366.4867 	Level image=tasty.jpg 	25
367.4613 	DATA 	Keypress: o
367.4870 	Level injecting via pump at address 0 	25
373.4641 	DATA 	Keypress: o
373.4653 	DATA 	Keypress: o
373.4666 	DATA 	Keypress: o
373.4762 	Level WAIT 	25
374.4685 	Level RINSE 	25
376.4640 	DATA 	Keypress: o
376.4762 	Level jitter 	25
378.4585 	Level finished 	25
378.4598 	DATA 	Keypress: o
378.4767 	Level image=tasty.jpg 	25
379.4611 	DATA 	Keypress: o
379.4657 	Level injecting via pump at address 1 	25
385.4642 	DATA 	Keypress: o
385.4655 	DATA 	Keypress: o
385.4668 	DATA 	Keypress: o
385.4770 	Level WAIT 	25
386.4768 	Level RINSE 	25
388.4648 	DATA 	Keypress: o
388.4769 	Level jitter 	25
396.4585 	Level finished 	25
396.4599 	DATA 	Keypress: o
396.4610 	DATA 	Keypress: o
396.4620 	DATA 	Keypress: o
396.4632 	DATA 	Keypress: o
396.4941 	Level image=tasty.jpg 	25
397.4616 	DATA 	Keypress: o
397.4768 	Level injecting via pump at address 0 	25
403.4645 	DATA 	Keypress: o
403.4658 	DATA 	Keypress: o
403.4670 	DATA 	Keypress: o
403.4756 	Level WAIT 	25
404.4748 	Level RINSE 	25
406.4643 	DATA 	Keypress: o
406.4742 	Level jitter 	25
413.4585 	Level finished 	25
