23.2810 	WARNING 	User requested fullscreen with size [800 600], but screen is actually [1280, 1024]. Using actual size
373.4893 	DATA 	Keypress: o
373.4904 	DATA 	Keypress: o
373.5059 	Level image=waterlogo.jpg 	25
374.4883 	DATA 	Keypress: o
374.5045 	Level injecting via pump at address 0 	25
380.4916 	DATA 	Keypress: o
380.4929 	DATA 	Keypress: o
380.4941 	DATA 	Keypress: o
380.5031 	Level WAIT 	25
381.5030 	Level RINSE 	25
383.4918 	DATA 	Keypress: o
383.5022 	Level jitter 	25
388.4854 	Level finished 	25
388.4870 	DATA 	Keypress: o
388.4884 	DATA 	Keypress: o
388.4898 	DATA 	Keypress: o
388.5006 	Level image=tasty.jpg 	25
389.4914 	Level injecting via pump at address 1 	25
395.4917 	DATA 	Keypress: o
395.4930 	DATA 	Keypress: o
395.4943 	DATA 	Keypress: o
395.5087 	Level WAIT 	25
396.4884 	DATA 	Keypress: o
396.4975 	Level RINSE 	25
398.4910 	DATA 	Keypress: o
398.4971 	Level jitter 	25
402.4854 	Level finished 	25
402.4868 	DATA 	Keypress: o
402.4881 	DATA 	Keypress: o
402.5121 	Level image=waterlogo.jpg 	25
403.4960 	Level injecting via pump at address 0 	25
409.4914 	DATA 	Keypress: o
409.4928 	DATA 	Keypress: o
409.4941 	DATA 	Keypress: o
409.5278 	Level WAIT 	25
410.4884 	DATA 	Keypress: o
410.5102 	Level RINSE 	25
412.4907 	DATA 	Keypress: o
412.5088 	Level jitter 	25
417.4854 	Level finished 	25
417.4869 	DATA 	Keypress: o
417.4884 	DATA 	Keypress: o
417.5071 	Level image=tasty.jpg 	25
418.4885 	DATA 	Keypress: o
418.5068 	Level injecting via pump at address 1 	25
424.4915 	DATA 	Keypress: o
424.4929 	DATA 	Keypress: o
424.4941 	DATA 	Keypress: o
424.5052 	Level WAIT 	25
425.5052 	Level RINSE 	25
427.4909 	DATA 	Keypress: o
427.5037 	Level jitter 	25
436.4854 	Level finished 	25
436.4869 	DATA 	Keypress: o
436.4882 	DATA 	Keypress: o
436.4895 	DATA 	Keypress: o
436.4907 	DATA 	Keypress: o
436.4921 	DATA 	Keypress: o
436.5119 	Level image=waterlogo.jpg 	25
437.5005 	Level injecting via pump at address 0 	25
443.4915 	DATA 	Keypress: o
443.4928 	DATA 	Keypress: o
443.4941 	DATA 	Keypress: o
443.5162 	Level WAIT 	25
444.4882 	DATA 	Keypress: o
444.4990 	Level RINSE 	25
446.4914 	DATA 	Keypress: o
446.4986 	Level jitter 	25
455.4854 	Level finished 	25
455.4867 	DATA 	Keypress: o
455.4878 	DATA 	Keypress: o
455.4889 	DATA 	Keypress: o
455.4902 	DATA 	Keypress: o
455.5124 	Level image=tasty.jpg 	25
456.4883 	DATA 	Keypress: o
456.5115 	Level injecting via pump at address 1 	25
462.4907 	DATA 	Keypress: o
462.4917 	DATA 	Keypress: o
462.4927 	DATA 	Keypress: o
462.5263 	Level WAIT 	25
463.5094 	Level RINSE 	25
465.4905 	DATA 	Keypress: o
465.5083 	Level jitter 	25
469.4854 	Level finished 	25
469.4869 	DATA 	Keypress: o
469.4882 	DATA 	Keypress: o
469.5076 	Level image=tasty.jpg 	25
470.4884 	DATA 	Keypress: o
470.5074 	Level injecting via pump at address 1 	25
476.4906 	DATA 	Keypress: o
476.4917 	DATA 	Keypress: o
476.4929 	DATA 	Keypress: o
476.5045 	Level WAIT 	25
477.5041 	Level RINSE 	25
479.4907 	DATA 	Keypress: o
479.5039 	Level jitter 	25
482.4854 	Level finished 	25
482.4868 	DATA 	Keypress: o
482.4881 	DATA 	Keypress: o
482.5032 	Level image=waterlogo.jpg 	25
483.4986 	Level injecting via pump at address 0 	25
489.4914 	DATA 	Keypress: o
489.4927 	DATA 	Keypress: o
489.4940 	DATA 	Keypress: o
489.5014 	Level WAIT 	25
490.4883 	DATA 	Keypress: o
490.5008 	Level RINSE 	25
492.4909 	DATA 	Keypress: o
492.5160 	Level jitter 	25
493.4854 	Level finished 	25
493.5164 	Level image=tasty.jpg 	25
494.4882 	DATA 	Keypress: o
494.4985 	Level injecting via pump at address 1 	25
500.4900 	DATA 	Keypress: o
500.4911 	DATA 	Keypress: o
500.4922 	DATA 	Keypress: o
500.5137 	Level WAIT 	25
501.4961 	Level RINSE 	25
503.4910 	DATA 	Keypress: o
503.5122 	Level jitter 	25
510.4854 	Level finished 	25
510.4867 	DATA 	Keypress: o
510.4877 	DATA 	Keypress: o
510.4887 	DATA 	Keypress: o
510.4897 	DATA 	Keypress: o
510.5106 	Level image=waterlogo.jpg 	25
511.5097 	Level injecting via pump at address 0 	25
517.4916 	DATA 	Keypress: o
517.4927 	DATA 	Keypress: o
517.4939 	DATA 	Keypress: o
517.5004 	Level WAIT 	25
518.4881 	DATA 	Keypress: o
518.5072 	Level RINSE 	25
520.4925 	DATA 	Keypress: o
520.5076 	Level jitter 	25
521.4854 	Level finished 	25
521.5071 	Level image=tasty.jpg 	25
522.4878 	DATA 	Keypress: o
522.5004 	Level injecting via pump at address 1 	25
528.4909 	DATA 	Keypress: o
528.4922 	DATA 	Keypress: o
528.4936 	DATA 	Keypress: o
528.5012 	Level WAIT 	25
529.5010 	Level RINSE 	25
531.4911 	DATA 	Keypress: o
531.5025 	Level jitter 	25
537.4854 	Level finished 	25
